Países;Sexo;Periodo;Total
UE-28;Mujeres;2021;..
UE-28;Mujeres;2020;..
UE-28;Mujeres;2019;86,4
UE-28;Mujeres;2018;86,2
UE-28;Mujeres;2017;85,9
UE-28;Mujeres;2016;85,6
UE-28;Mujeres;2015;85,1
UE-28;Mujeres;2014;84,7
UE-28;Hombres;2021;..
UE-28;Hombres;2020;..
UE-28;Hombres;2019;81,4
UE-28;Hombres;2018;81,1
UE-28;Hombres;2017;80,9
UE-28;Hombres;2016;80,8
UE-28;Hombres;2015;80,5
UE-28;Hombres;2014;79,8
UE27_2020;Mujeres;2021;87,3
UE27_2020;Mujeres;2020;87,1
UE27_2020;Mujeres;2019;86,2
UE27_2020;Mujeres;2018;85,8
UE27_2020;Mujeres;2017;85,6
UE27_2020;Mujeres;2016;85,2
UE27_2020;Mujeres;2015;84,8
UE27_2020;Mujeres;2014;84,6
UE27_2020;Hombres;2021;82,1
UE27_2020;Hombres;2020;81,5
UE27_2020;Hombres;2019;81
UE27_2020;Hombres;2018;80,7
UE27_2020;Hombres;2017;80,5
UE27_2020;Hombres;2016;80,5
UE27_2020;Hombres;2015;79,8
UE27_2020;Hombres;2014;79,4
Bélgica;Mujeres;2021;91,2
Bélgica;Mujeres;2020;89,1
Bélgica;Mujeres;2019;88,8
Bélgica;Mujeres;2018;87,9
Bélgica;Mujeres;2017;88,5
Bélgica;Mujeres;2016;87,8
Bélgica;Mujeres;2015;86,6
Bélgica;Mujeres;2014;87,8
Bélgica;Hombres;2021;85,4
Bélgica;Hombres;2020;82,3
Bélgica;Hombres;2019;82,4
Bélgica;Hombres;2018;81,7
Bélgica;Hombres;2017;82,9
Bélgica;Hombres;2016;82,8
Bélgica;Hombres;2015;82,2
Bélgica;Hombres;2014;81
Bulgaria;Mujeres;2021;85,4
Bulgaria;Mujeres;2020;86,1
Bulgaria;Mujeres;2019;85,4
Bulgaria;Mujeres;2018;86,3
Bulgaria;Mujeres;2017;85,8
Bulgaria;Mujeres;2016;85,2
Bulgaria;Mujeres;2015;85,6
Bulgaria;Mujeres;2014;85,8
Bulgaria;Hombres;2021;87,3
Bulgaria;Hombres;2020;84,7
Bulgaria;Hombres;2019;83,6
Bulgaria;Hombres;2018;85,6
Bulgaria;Hombres;2017;85,8
Bulgaria;Hombres;2016;84,8
Bulgaria;Hombres;2015;84,7
Bulgaria;Hombres;2014;85,8
República Checa;Mujeres;2021;90
República Checa;Mujeres;2020;87
República Checa;Mujeres;2019;88,6
República Checa;Mujeres;2018;90,5
República Checa;Mujeres;2017;89,6
República Checa;Mujeres;2016;89,6
República Checa;Mujeres;2015;90,6
República Checa;Mujeres;2014;91,4
República Checa;Hombres;2021;88,6
República Checa;Hombres;2020;87,8
República Checa;Hombres;2019;88,1
República Checa;Hombres;2018;88,5
República Checa;Hombres;2017;88,8
República Checa;Hombres;2016;89,7
República Checa;Hombres;2015;90,2
República Checa;Hombres;2014;89,9
Dinamarca;Mujeres;2021;80,2
Dinamarca;Mujeres;2020;81,1
Dinamarca;Mujeres;2019;80,9
Dinamarca;Mujeres;2018;80,4
Dinamarca;Mujeres;2017;81,7
Dinamarca;Mujeres;2016;80,4
Dinamarca;Mujeres;2015;79
Dinamarca;Mujeres;2014;78
Dinamarca;Hombres;2021;70,8
Dinamarca;Hombres;2020;71,2
Dinamarca;Hombres;2019;70,9
Dinamarca;Hombres;2018;69,9
Dinamarca;Hombres;2017;69,4
Dinamarca;Hombres;2016;71,5
Dinamarca;Hombres;2015;69,5
Dinamarca;Hombres;2014;69,3
Alemania;Mujeres;2021;80,2
Alemania;Mujeres;2020;83
Alemania;Mujeres;2019;80,2
Alemania;Mujeres;2018;80,3
Alemania;Mujeres;2017;80
Alemania;Mujeres;2016;79,7
Alemania;Mujeres;2015;79,2
Alemania;Mujeres;2014;79
Alemania;Hombres;2021;74,2
Alemania;Hombres;2020;75,9
Alemania;Hombres;2019;75
Alemania;Hombres;2018;74,9
Alemania;Hombres;2017;75,3
Alemania;Hombres;2016;75,8
Alemania;Hombres;2015;75,2
Alemania;Hombres;2014;75,4
Estonia;Mujeres;2021;88,5
Estonia;Mujeres;2020;88
Estonia;Mujeres;2019;87,3
Estonia;Mujeres;2018;86,6
Estonia;Mujeres;2017;88,9
Estonia;Mujeres;2016;88,2
Estonia;Mujeres;2015;82,9
Estonia;Mujeres;2014;88,9
Estonia;Hombres;2021;83,2
Estonia;Hombres;2020;83,4
Estonia;Hombres;2019;77,8
Estonia;Hombres;2018;76,3
Estonia;Hombres;2017;78,3
Estonia;Hombres;2016;77,5
Estonia;Hombres;2015;77
Estonia;Hombres;2014;77,2
Irlanda;Mujeres;2021;96,9
Irlanda;Mujeres;2020;94,9
Irlanda;Mujeres;2019;94,7
Irlanda;Mujeres;2018;95,2
Irlanda;Mujeres;2017;95,5
Irlanda;Mujeres;2016;95,7
Irlanda;Mujeres;2015;95,1
Irlanda;Mujeres;2014;94,7
Irlanda;Hombres;2021;95,3
Irlanda;Hombres;2020;94,8
Irlanda;Hombres;2019;93,6
Irlanda;Hombres;2018;93,7
Irlanda;Hombres;2017;92,9
Irlanda;Hombres;2016;92,7
Irlanda;Hombres;2015;91,4
Irlanda;Hombres;2014;91,7
Grecia;Mujeres;2021;96,2
Grecia;Mujeres;2020;95,6
Grecia;Mujeres;2019;95,7
Grecia;Mujeres;2018;95,5
Grecia;Mujeres;2017;93,8
Grecia;Mujeres;2016;92,4
Grecia;Mujeres;2015;91,9
Grecia;Mujeres;2014;91,7
Grecia;Hombres;2021;95,2
Grecia;Hombres;2020;94,3
Grecia;Hombres;2019;93,4
Grecia;Hombres;2018;92,2
Grecia;Hombres;2017;91
Grecia;Hombres;2016;90,1
Grecia;Hombres;2015;87,5
Grecia;Hombres;2014;85,1
España;Mujeres;2021;83,7
España;Mujeres;2020;81,9
España;Mujeres;2019;79,7
España;Mujeres;2018;77,9
España;Mujeres;2017;77,2
España;Mujeres;2016;76,6
España;Mujeres;2015;74,6
España;Mujeres;2014;71,4
España;Hombres;2021;74,2
España;Hombres;2020;70,2
España;Hombres;2019;68,5
España;Hombres;2018;67,7
España;Hombres;2017;66,4
España;Hombres;2016;65,3
España;Hombres;2015;62,4
España;Hombres;2014;60,4
Francia;Mujeres;2021;91,6
Francia;Mujeres;2020;92
Francia;Mujeres;2019;90,7
Francia;Mujeres;2018;90,8
Francia;Mujeres;2017;89,7
Francia;Mujeres;2016;89,4
Francia;Mujeres;2015;88,2
Francia;Mujeres;2014;89,4
Francia;Hombres;2021;87,8
Francia;Hombres;2020;87,4
Francia;Hombres;2019;86,4
Francia;Hombres;2018;85,7
Francia;Hombres;2017;86,4
Francia;Hombres;2016;86,2
Francia;Hombres;2015;86,4
Francia;Hombres;2014;86,4
Croacia;Mujeres;2021;97,8
Croacia;Mujeres;2020;97,8
Croacia;Mujeres;2019;97,1
Croacia;Mujeres;2018;95,9
Croacia;Mujeres;2017;96,7
Croacia;Mujeres;2016;97,1
Croacia;Mujeres;2015;97,2
Croacia;Mujeres;2014;97,4
Croacia;Hombres;2021;96
Croacia;Hombres;2020;96,7
Croacia;Hombres;2019;97,5
Croacia;Hombres;2018;96,6
Croacia;Hombres;2017;95,9
Croacia;Hombres;2016;95,5
Croacia;Hombres;2015;94,6
Croacia;Hombres;2014;95
Italia;Mujeres;2021;86,8
Italia;Mujeres;2020;86,3
Italia;Mujeres;2019;84,5
Italia;Mujeres;2018;84,1
Italia;Mujeres;2017;85,7
Italia;Mujeres;2016;84,6
Italia;Mujeres;2015;83,7
Italia;Mujeres;2014;83,2
Italia;Hombres;2021;80,4
Italia;Hombres;2020;80,6
Italia;Hombres;2019;79,7
Italia;Hombres;2018;78,5
Italia;Hombres;2017;78,3
Italia;Hombres;2016;77,6
Italia;Hombres;2015;76,7
Italia;Hombres;2014;76,6
Chipre;Mujeres;2021;92
Chipre;Mujeres;2020;91,1
Chipre;Mujeres;2019;93
Chipre;Mujeres;2018;92,8
Chipre;Mujeres;2017;91,4
Chipre;Mujeres;2016;95,4
Chipre;Mujeres;2015;97,1
Chipre;Mujeres;2014;97,4
Chipre;Hombres;2021;87,3
Chipre;Hombres;2020;85,3
Chipre;Hombres;2019;91,4
Chipre;Hombres;2018;90,1
Chipre;Hombres;2017;87,9
Chipre;Hombres;2016;86,7
Chipre;Hombres;2015;91,3
Chipre;Hombres;2014;87,1
Letonia;Mujeres;2021;89,5
Letonia;Mujeres;2020;91
Letonia;Mujeres;2019;88,9
Letonia;Mujeres;2018;93,1
Letonia;Mujeres;2017;92
Letonia;Mujeres;2016;89,4
Letonia;Mujeres;2015;91,6
Letonia;Mujeres;2014;91
Letonia;Hombres;2021;84,7
Letonia;Hombres;2020;85,1
Letonia;Hombres;2019;85,5
Letonia;Hombres;2018;83,8
Letonia;Hombres;2017;82,7
Letonia;Hombres;2016;80,4
Letonia;Hombres;2015;80,8
Letonia;Hombres;2014;82,5
Lituania;Mujeres;2021;94
Lituania;Mujeres;2020;92,2
Lituania;Mujeres;2019;94,1
Lituania;Mujeres;2018;94,4
Lituania;Mujeres;2017;93,1
Lituania;Mujeres;2016;94,2
Lituania;Mujeres;2015;93
Lituania;Mujeres;2014;92,8
Lituania;Hombres;2021;89,9
Lituania;Hombres;2020;88,1
Lituania;Hombres;2019;91
Lituania;Hombres;2018;90
Lituania;Hombres;2017;89,6
Lituania;Hombres;2016;89,3
Lituania;Hombres;2015;88,8
Lituania;Hombres;2014;90
Luxemburgo;Mujeres;2021;81
Luxemburgo;Mujeres;2020;80
Luxemburgo;Mujeres;2019;76,7
Luxemburgo;Mujeres;2018;80,4
Luxemburgo;Mujeres;2017;81,9
Luxemburgo;Mujeres;2016;81,7
Luxemburgo;Mujeres;2015;73,3
Luxemburgo;Mujeres;2014;75,3
Luxemburgo;Hombres;2021;72,3
Luxemburgo;Hombres;2020;70,8
Luxemburgo;Hombres;2019;78,4
Luxemburgo;Hombres;2018;73
Luxemburgo;Hombres;2017;68,9
Luxemburgo;Hombres;2016;72,2
Luxemburgo;Hombres;2015;63,9
Luxemburgo;Hombres;2014;72,1
Hungría;Mujeres;2021;85,6
Hungría;Mujeres;2020;87
Hungría;Mujeres;2019;87,5
Hungría;Mujeres;2018;85,4
Hungría;Mujeres;2017;84,5
Hungría;Mujeres;2016;84,1
Hungría;Mujeres;2015;85,2
Hungría;Mujeres;2014;87,3
Hungría;Hombres;2021;83,4
Hungría;Hombres;2020;84,4
Hungría;Hombres;2019;85,7
Hungría;Hombres;2018;84,6
Hungría;Hombres;2017;84,2
Hungría;Hombres;2016;82,9
Hungría;Hombres;2015;83,3
Hungría;Hombres;2014;83,3
Malta;Mujeres;2021;91,9
Malta;Mujeres;2020;88
Malta;Mujeres;2019;83,1
Malta;Mujeres;2018;81
Malta;Mujeres;2017;85,8
Malta;Mujeres;2016;85,7
Malta;Mujeres;2015;85,7
Malta;Mujeres;2014;82,4
Malta;Hombres;2021;85,7
Malta;Hombres;2020;82,6
Malta;Hombres;2019;81,4
Malta;Hombres;2018;82,3
Malta;Hombres;2017;79,8
Malta;Hombres;2016;76,5
Malta;Hombres;2015;76,9
Malta;Hombres;2014;77,3
Países Bajos;Mujeres;2021;90
Países Bajos;Mujeres;2020;86,2
Países Bajos;Mujeres;2019;85,6
Países Bajos;Mujeres;2018;85,6
Países Bajos;Mujeres;2017;86,1
Países Bajos;Mujeres;2016;83,9
Países Bajos;Mujeres;2015;84,2
Países Bajos;Mujeres;2014;83,4
Países Bajos;Hombres;2021;85
Países Bajos;Hombres;2020;80,1
Países Bajos;Hombres;2019;78,9
Países Bajos;Hombres;2018;79,4
Países Bajos;Hombres;2017;77,7
Países Bajos;Hombres;2016;77,1
Países Bajos;Hombres;2015;75,9
Países Bajos;Hombres;2014;74,7
Austria;Mujeres;2021;89,3
Austria;Mujeres;2020;89,7
Austria;Mujeres;2019;90,3
Austria;Mujeres;2018;90,3
Austria;Mujeres;2017;90,2
Austria;Mujeres;2016;91,1
Austria;Mujeres;2015;89,4
Austria;Mujeres;2014;89,6
Austria;Hombres;2021;83,1
Austria;Hombres;2020;82,6
Austria;Hombres;2019;84,4
Austria;Hombres;2018;85,7
Austria;Hombres;2017;84,7
Austria;Hombres;2016;88
Austria;Hombres;2015;88
Austria;Hombres;2014;89,5
Polonia;Mujeres;2021;93,1
Polonia;Mujeres;2020;92,1
Polonia;Mujeres;2019;93,2
Polonia;Mujeres;2018;92,8
Polonia;Mujeres;2017;92,6
Polonia;Mujeres;2016;92,7
Polonia;Mujeres;2015;93,5
Polonia;Mujeres;2014;93,6
Polonia;Hombres;2021;88,2
Polonia;Hombres;2020;87,9
Polonia;Hombres;2019;88,4
Polonia;Hombres;2018;89,6
Polonia;Hombres;2017;88,6
Polonia;Hombres;2016;89
Polonia;Hombres;2015;88,3
Polonia;Hombres;2014;87,4
Portugal;Mujeres;2021;92,6
Portugal;Mujeres;2020;90,6
Portugal;Mujeres;2019;87,2
Portugal;Mujeres;2018;85,2
Portugal;Mujeres;2017;83,4
Portugal;Mujeres;2016;82,3
Portugal;Mujeres;2015;82
Portugal;Mujeres;2014;76,8
Portugal;Hombres;2021;86,7
